Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Costa Rica,CRI,13.0573346474185,12.8947795254088,13.3652340296961,13.3191976561239,13.7417149909108,13.4166589919403,13.6570929886303,13.910101247384,13.704774682847,13.5884208613983,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cote d'Ivoire,CIV,18.0109074301712,..,10.9316199099345,14.3904685399922,14.5426974485359,13.9736401625078,11.1758223326702,11.5663455369133,11.9669833257913,11.7687552395283,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Croatia,HRV,..,22.3532369585762,19.1765141424098,19.7316344415716,20.2715099763155,19.9423843681328,20.8456467880009,21.3473431088534,21.4996965088432,21.8345403863804,22.2456372122832,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cyprus,CYP,30.8059028384927,35.5331681664013,23.2141207864472,23.4002992781616,23.5804822537324,24.7903619478902,24.1283263957382,23.6210031622867,24.0607868617865,24.3186026136,24.2066140784867,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Czech Republic,CZE,..,14.4749860557544,14.5202634059379,14.9287634461197,15.0811610763803,14.4296540586861,14.7695604553833,14.9127775532102,15.0055285503497,14.8388745233201,14.7981932510279,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Denmark,DNK,29.724606837575,31.594119030262,32.7534892718105,33.4463982120414,33.8197526581539,36.5002916609685,33.9216190603815,33.2950594843919,33.3998795843063,32.1743661325984,34.0357292257588,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
