Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Georgia,GEO,..,..,..,..,566.35449,1059.47472,1280.46364,1306.59079,1307.40616,1463.77339,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Germany,DEU,..,3167.95093,4188.80831,4352.32261,4366.6912,4320.70432,4743.7863,4861.74717,5076.51794,5211.87408,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Ghana,GHA,..,..,..,..,..,..,89.11206,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Greece,GRC,..,..,2278.51787,2300.31448,2721.31093,2791.8715,3255.9863,2769.89991,3311.44856,3482.71652,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Guatemala,GTM,..,..,24.75115,26.91416,17.37646,20.28482,22.15054,22.07069,14.07038,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Honduras,HND,..,..,..,..,..,..,22.38581,..,34.68019,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Hong Kong SAR, China",HKG,..,1169.78769,3085.38105,3191.214,3377.87416,3591.19623,3565.12862,3741.2636,3782.34083,4026.46326,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Hungary,HUN,..,1409.51912,2326.16657,2416.47759,2546.08461,2673.43438,2589.09791,2645.75681,2921.5331,3237.70314,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Iceland,ISL,..,..,6981.39572,..,5648.36011,..,5887.90678,..,6130.51111,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,India,IND,..,109.72807,..,..,..,..,216.00083,..,..,252.70392,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Indonesia,IDN,..,212.67641,..,..,..,..,..,178.87539,215.19041,215.99355,..,..
